candidate,metric_schema_version,rows,roc_auc,fixed_positive_rate,official_weighted_f1_at_fixed_rate,official_weighted_f1_at_probability_0_5,legacy_dead_class_f1_at_fixed_rate,legacy_dead_class_f1_at_probability_0_5,fixed_rate_f1,f1_at_probability_0_5
frozen_tree_proxy,2_weighted_f1_primary,24000,0.9016228886132764,0.845,0.877513432835821,0.8754707895590403,0.9282089552238806,0.9323729102280194,0.9282089552238806,0.9323729102280194
nested_teacher,2_weighted_f1_primary,24000,0.8965952412591542,0.845,0.8735239188672025,0.8741038813163869,0.9258706467661691,0.9310176602595375,0.9258706467661691,0.9310176602595375
nested_pseudo95_control,2_weighted_f1_primary,24000,0.8969773210489015,0.845,0.8742029850746268,0.8751273792093704,0.9262686567164179,0.9314787701317716,0.9262686567164179,0.9314787701317716
nested_pseudo90_candidate,2_weighted_f1_primary,24000,0.8968897034215293,0.845,0.8747971680061233,0.8751905930909679,0.9266169154228856,0.9314326164962042,0.9266169154228856,0.9314326164962042
