candidate,age_band,age_sort,rows,actual_dead_rate,predicted_dead_rate,weighted_f1,dead_class_f1,accuracy,dead_precision,dead_recall,true_positive,false_positive,true_negative,false_negative,false_positive_rate,false_negative_rate,error_rate,mean_probability,roc_auc,brier_score
frozen_tree_pre_pseudo_proxy,01-04 years,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,3,0,0.0,,0.0,0.20964927390522434,,0.059910494373247726
frozen_tree_pre_pseudo_proxy,05-09 years,5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1,0,0.0,,0.0,0.39459855539484223,,0.15570801991969638
frozen_tree_pre_pseudo_proxy,10-14 years,10,2,0.5,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0,0,1,1,0.0,1.0,0.5,0.12498154991391383,1.0,0.3381692338285632
frozen_tree_pre_pseudo_proxy,15-19 years,15,3,1.0,0.6666666666666666,0.8000000000000002,0.8,0.6666666666666666,1.0,0.6666666666666666,2,0,0,1,,0.3333333333333333,0.3333333333333333,0.6247619663917574,,0.1823041564763879
frozen_tree_pre_pseudo_proxy,20-24 years,20,10,0.4,0.5,0.7030303030303029,0.6666666666666666,0.7,0.6,0.75,3,2,4,1,0.3333333333333333,0.25,0.3,0.4873518528865704,0.7916666666666667,0.22718625414006
frozen_tree_pre_pseudo_proxy,25-29 years,25,17,0.5882352941176471,0.5882352941176471,0.8823529411764706,0.9,0.8823529411764706,0.9,0.9,9,1,6,1,0.14285714285714285,0.1,0.11764705882352941,0.5214599740899712,0.9142857142857143,0.11787797631689113
frozen_tree_pre_pseudo_proxy,30-34 years,30,27,0.5185185185185185,0.5555555555555556,0.8885823754789273,0.896551724137931,0.8888888888888888,0.8666666666666667,0.9285714285714286,13,2,11,1,0.15384615384615385,0.07142857142857142,0.1111111111111111,0.5564465876573271,0.9505494505494505,0.08896937924366562
frozen_tree_pre_pseudo_proxy,35-39 years,35,69,0.6376811594202898,0.7246376811594203,0.7296694979396182,0.8085106382978723,0.7391304347826086,0.76,0.8636363636363636,38,12,13,6,0.48,0.13636363636363635,0.2608695652173913,0.6763477437465256,0.7909090909090909,0.17169967596063615
frozen_tree_pre_pseudo_proxy,40-44 years,40,158,0.6962025316455697,0.6962025316455697,0.8481012658227848,0.8909090909090909,0.8481012658227848,0.8909090909090909,0.8909090909090909,98,12,36,12,0.25,0.10909090909090909,0.1518987341772152,0.6978806515296758,0.9310606060606061,0.09847928323396878
frozen_tree_pre_pseudo_proxy,45-49 years,45,341,0.7302052785923754,0.7419354838709677,0.8582343159132775,0.9043824701195219,0.8592375366568915,0.8972332015810277,0.9116465863453815,227,26,66,22,0.2826086956521739,0.08835341365461848,0.14076246334310852,0.7319259089943385,0.9109917932599966,0.1009098860381673
