cluster_type,cluster,focal_rows,rest_same_cluster_rows,focal_dead_rate,rest_dead_rate,focal_predicted_dead_rate,rest_predicted_dead_rate,focal_weighted_f1,rest_weighted_f1,focal_false_positive,focal_false_negative,rest_false_positive,rest_false_negative,focal_alive_denominator,rest_alive_denominator,focal_false_positive_rate,rest_false_positive_rate,false_positive_rate_difference,fpr_fisher_p_value,focal_dead_denominator,rest_dead_denominator,focal_false_negative_rate,rest_false_negative_rate,false_negative_rate_difference,fnr_fisher_p_value,focal_error_rate,rest_error_rate,error_rate_difference,overall_error_fisher_p_value,overall_error_bh_q_value,fpr_bh_q_value,fnr_bh_q_value,descriptive_overall_error_flag,fpr_denominator_gate,fnr_denominator_gate,class_conditional_fpr_signal,class_conditional_fnr_signal,class_conditional_excess_error_signal
composite_stage_x_histology_code,M1 distant/metastatic | 8041,83,859,0.9036144578313253,0.9278230500582072,0.963855421686747,0.980209545983702,0.8978553510228597,0.9126963301747545,6,1,52,7,8,62,0.75,0.8387096774193549,-0.08870967741935487,0.6178013840188898,75,797,0.013333333333333334,0.00878293601003764,0.0045503973232956935,0.5144717849039948,0.08433734939759036,0.06868451688009314,0.015652832517497217,0.6501842073713757,0.9402118618708476,1.0,1.0,False,False,True,False,False,False
composite_stage_x_histology_family,M1 distant/metastatic | small-cell family,85,875,0.9058823529411765,0.9268571428571428,0.9647058823529412,0.9794285714285714,0.9002253388490902,0.9102453396168083,6,1,54,8,8,64,0.75,0.84375,-0.09375,0.6127933234934521,77,811,0.012987012987012988,0.009864364981504316,0.003122648005508672,0.5596600447791071,0.08235294117647059,0.07085714285714285,0.011495798319327732,0.6601539070261687,0.7701795581971967,1.0,0.8888718358256407,False,False,True,False,False,False
composite_stage_x_histology_code,M1 distant/metastatic | 8070,45,560,0.9555555555555556,0.9357142857142857,0.9777777777777777,0.9660714285714286,0.9226053639846744,0.9201499908542162,2,1,28,11,2,36,1.0,0.7777777777777778,0.2222222222222222,1.0,43,524,0.023255813953488372,0.02099236641221374,0.002263447541274631,1.0,0.06666666666666667,0.06964285714285715,-0.0029761904761904795,1.0,1.0,1.0,1.0,False,False,True,False,False,False
composite_stage_x_histology_family,M1 distant/metastatic | NOS/other epithelial family,42,643,0.9761904761904762,0.9766718506998445,1.0,0.9891135303265941,0.9644291451520366,0.9670050307194233,1,0,13,5,1,15,1.0,0.8666666666666667,0.1333333333333333,1.0,41,628,0.0,0.007961783439490446,-0.007961783439490446,1.0,0.023809523809523808,0.027993779160186624,-0.004184255350662816,1.0,1.0,1.0,1.0,False,False,True,False,False,False
composite_stage_x_histology_family,M1 distant/metastatic | squamous family,46,613,0.9565217391304348,0.9265905383360522,0.9782608695652174,0.964110929853181,0.9242794333170493,0.9071382499747014,2,1,36,13,2,45,1.0,0.8,0.19999999999999996,1.0,44,568,0.022727272727272728,0.022887323943661973,-0.00016005121638924466,1.0,0.06521739130434782,0.0799347471451876,-0.014717355840839774,1.0,1.0,1.0,1.0,False,False,True,False,False,False
composite_stage_x_histology_code,EOD unavailable (all blank) | 8000,32,1114,1.0,0.9829443447037702,1.0,1.0,1.0,0.9744898664107093,0,0,19,0,0,19,,1.0,,,32,1095,0.0,0.0,0.0,1.0,0.0,0.017055655296229804,-0.017055655296229804,1.0,1.0,,1.0,False,False,True,False,False,False
composite_stage_x_histology_code,EOD unavailable (all blank) | 8246,19,110,0.9473684210526315,0.9636363636363636,0.9473684210526315,0.9727272727272728,1.0,0.9708432412657766,0,0,2,1,1,4,0.0,0.5,-0.5,1.0,18,106,0.0,0.009433962264150943,-0.009433962264150943,1.0,0.0,0.02727272727272727,-0.02727272727272727,1.0,1.0,1.0,1.0,False,False,False,False,False,False
composite_stage_x_histology_code,EOD unavailable (all blank) | 8550,19,233,0.5789473684210527,0.6566523605150214,0.3684210526315789,0.5879828326180258,0.6807017543859649,0.6543570976899377,1,5,33,49,8,80,0.125,0.4125,-0.2875,0.1446102048580026,11,153,0.45454545454545453,0.3202614379084967,0.13428401663695783,0.5072316661830545,0.3157894736842105,0.351931330472103,-0.0361418567878925,0.8085258411549958,0.9800313226121161,1.0,1.0,False,False,False,False,False,False
composite_stage_x_histology_code,M0 N0 T0-2 localized | 8551,29,312,0.13793103448275862,0.20512820512820512,0.0,0.05128205128205128,0.7982120051085568,0.7745852187028657,0,4,4,52,25,248,0.0,0.016129032258064516,-0.016129032258064516,1.0,4,64,1.0,0.8125,0.1875,1.0,0.13793103448275862,0.1794871794871795,-0.04155614500442087,0.7989258277779303,0.9800313226121161,1.0,1.0,False,False,False,False,False,False
composite_stage_x_histology_code,M0 N0 T0-2 localized | 8140,43,788,0.3953488372093023,0.4276649746192893,0.16279069767441862,0.3248730964467005,0.7377469367341836,0.7171574664712757,0,10,68,149,26,451,0.0,0.15077605321507762,-0.15077605321507762,0.03726860339700981,17,337,0.5882352941176471,0.4421364985163205,0.1460987956013266,0.31827972564430085,0.23255813953488372,0.2753807106598985,-0.04282257112501478,0.6022664331618565,0.93769089449975,0.6708348611461766,0.8866363785805523,False,False,False,False,False,False
