series,metric_schema_version,rows,prevalence,mean_probability,mean_probability_minus_prevalence,brier,log_loss,roc_auc,ece,rms_calibration_error,max_calibration_error,calibration_intercept,calibration_slope,official_weighted_f1_at_probability_0_5,legacy_dead_class_f1_at_probability_0_5,f1_at_probability_0_5,positive_rate_at_probability_0_5,fixed_rate,official_weighted_f1_at_fixed_rate,legacy_dead_class_f1_at_fixed_rate,fixed_rate_f1
tree_oof_raw,2_weighted_f1_primary,24000,0.83,0.8311134183060722,0.0011134183060722558,0.08350639375935721,0.27330271594448763,0.9016228886132764,0.003452499132336559,0.003965199311934004,0.0063525301646563115,-0.03860242445362598,1.0248968471620032,0.8754707895590403,0.9323729102280194,0.9323729102280194,0.8822083333333334,0.845,0.877513432835821,0.9282089552238806,0.9282089552238806
nn_oof_raw,2_weighted_f1_primary,24000,0.83,0.8271971496592353,-0.002802850340764662,0.0887040906736291,0.29080007902889177,0.8871457890385069,0.010363715355556144,0.015561674312097108,0.0425896578406294,0.08127344500452803,0.9486214629158715,0.8695782438298819,0.9274851223275292,0.9274851223275292,0.871375,0.845,0.8703832376578645,0.9240298507462686,0.9240298507462686
nn_oof_isotonic_crossfit_seed42,2_weighted_f1_primary,24000,0.83,0.8299788774363667,-2.1122563633291236e-05,0.08876404277068418,0.2939705080487943,0.8853675240176392,0.0019245185324900606,0.002489883773540194,0.005227150200104114,0.030155198617521733,0.9718266647539977,0.8658161543284526,0.9282563381647195,0.9282563381647195,0.8890833333333333,0.845,0.8696192881745121,0.9235820895522389,0.9235820895522389
tree80_nn20_raw,2_weighted_f1_primary,24000,0.83,0.8303301645767048,0.0003301645767048722,0.08356501175945844,0.2736682716498942,0.9014938676273723,0.0033812520342106083,0.004160093401253449,0.010110747295069722,-0.047509927663199114,1.0435124494928802,0.8747004154024273,0.9319608702000292,0.9319608702000292,0.88225,0.845,0.8784471488710295,0.9287562189054727,0.9287562189054727
tree80_nn20_isotonic_crossfit_seed42,2_weighted_f1_primary,24000,0.83,0.8308865101321311,0.0008865101321311464,0.0835930924876385,0.2737806194075257,0.9013564921450509,0.004215705139293522,0.005009492008683482,0.010461346847438907,-0.0644410031030703,1.0527925814946557,0.8743491876562886,0.9323881430409555,0.9323881430409555,0.8862916666666667,0.845,0.8780227324913893,0.9285074626865671,0.9285074626865671
