series,bin,rows,probability_min,probability_max,mean_predicted,observed_dead_rate,observed_minus_predicted,absolute_gap,observed_wilson_95_low,observed_wilson_95_high
tree_oof_raw,1,2400,0.004766527663196394,0.4455749709385517,0.23789723846214747,0.23375,-0.004147238462147457,0.004147238462147457,0.21725185041018485,0.2510991112098145
tree_oof_raw,2,2400,0.4456990899787159,0.7029695392505996,0.5853123042687958,0.585,-0.0003123042687958044,0.0003123042687958044,0.5651668299559914,0.6045615015456048
tree_oof_raw,3,2400,0.7029873974354641,0.8402120878725468,0.7801025301646564,0.77375,-0.0063525301646563115,0.0063525301646563115,0.7565809019104762,0.7900441657196654
tree_oof_raw,4,2400,0.8403232891832111,0.9069675669155559,0.8771870797590717,0.8729166666666667,-0.0042704130924050565,0.0042704130924050565,0.8589928661956665,0.8856485881863376
tree_oof_raw,5,2400,0.9070122031822987,0.9447240328778194,0.9278675803307457,0.9216666666666666,-0.006200913664079044,0.006200913664079044,0.910230441635028,0.9317552028728917
tree_oof_raw,6,2400,0.9447381973916725,0.9665744488468433,0.9567440443637698,0.9604166666666667,0.0036726223028968885,0.0036726223028968885,0.9518518741119919,0.9675099215216556
tree_oof_raw,7,2400,0.9665748931484828,0.9795778784795791,0.9736295208732931,0.9720833333333333,-0.0015461875399598313,0.0015461875399598313,0.964700501237785,0.9779573398960815
tree_oof_raw,8,2400,0.9795836744190132,0.9885813320146187,0.984414760054052,0.98875,0.004335239945947977,0.004335239945947977,0.9836810813917917,0.9922568247423879
tree_oof_raw,9,2400,0.9885821755744819,0.9942364780491115,0.9914977749067291,0.9925,0.0010022250932709698,0.0010022250932709698,0.9881753176642515,0.9952506030949987
tree_oof_raw,10,2400,0.9942403813094557,0.999391017560364,0.9964813498774604,0.9991666666666666,0.002685316789206249,0.002685316789206249,0.9969665065712885,0.9997714401880866
nn_oof_raw,1,2400,0.008026867173612118,0.411912739276886,0.24654432211110058,0.26,0.013455677888899426,0.013455677888899426,0.24284466330599525,0.2779224006894972
nn_oof_raw,2,2400,0.4119601547718048,0.6779756546020508,0.5553270088260372,0.5979166666666667,0.0425896578406294,0.0425896578406294,0.578158777709226,0.617361604167613
nn_oof_raw,3,2400,0.6780444979667664,0.8324723839759827,0.7616678517808517,0.7683333333333333,0.006665481552481589,0.006665481552481589,0.7510334729773868,0.784775573527653
nn_oof_raw,4,2400,0.8324766755104065,0.9113240242004395,0.8777868136763572,0.8670833333333333,-0.01070348034302393,0.01070348034302393,0.8529129348956671,0.8800804967362273
nn_oof_raw,5,2400,0.911332905292511,0.9484150409698486,0.9319407047828039,0.9191666666666667,-0.012774038116137199,0.012774038116137199,0.9075797343155174,0.9294139004423554
nn_oof_raw,6,2400,0.9484164714813232,0.9675145745277405,0.958953396876653,0.95375,-0.005203396876653055,0.005203396876653055,0.9445977100062688,0.9614520596272533
nn_oof_raw,7,2400,0.9675183892250061,0.9786269068717957,0.9734891280531883,0.965,-0.008489128053188355,0.008489128053188355,0.9568727124175059,0.9716411010912275
nn_oof_raw,8,2400,0.9786293506622314,0.9859861135482788,0.9824509500960509,0.98375,0.0012990499039491343,0.0012990499039491343,0.9778638284242581,0.9880900582098276
nn_oof_raw,9,2400,0.9859894514083862,0.9918711185455322,0.9890103720376889,0.9908333333333333,0.0018229612956444097,0.0018229612956444097,0.9861592582955011,0.9939386559637177
nn_oof_raw,10,2400,0.9918749928474426,0.9996753931045532,0.9948009483516216,0.9941666666666666,-0.0006342816849549404,0.0006342816849549404,0.9902319340470639,0.9965219932122175
nn_oof_isotonic_crossfit_seed42,1,2371,0.0,0.48579545454545453,0.2545788388340587,0.2598059890341628,0.005227150200104114,0.005227150200104114,0.2425531001548313,0.2778359364398019
nn_oof_isotonic_crossfit_seed42,2,2337,0.49056603773584906,0.6839286098920988,0.5936036367449734,0.5943517329910141,0.0007480962460406637,0.0007480962460406637,0.5743051995990248,0.6140885928717278
nn_oof_isotonic_crossfit_seed42,3,2337,0.683982683982684,0.8306010928961749,0.7586104881579948,0.7586649550706034,5.446691260857506e-05,5.446691260857506e-05,0.7409013335253227,0.7755796077380335
nn_oof_isotonic_crossfit_seed42,4,2544,0.8308550185873605,0.9047619047619048,0.8673299103461818,0.8655660377358491,-0.0017638726103327285,0.0017638726103327285,0.851757956493582,0.8782717686922732
nn_oof_isotonic_crossfit_seed42,5,2396,0.9062087186261559,0.9431818181818182,0.9193340473484723,0.921118530884808,0.001784483536335646,0.001784483536335646,0.9096388431726932,0.931250038291862
nn_oof_isotonic_crossfit_seed42,6,1966,0.9438502673796791,0.959479015918958,0.9500824976610797,0.9465920651068158,-0.003490432554263845,0.003490432554263845,0.9357537705630272,0.9556885290884802
nn_oof_isotonic_crossfit_seed42,7,2829,0.9605714285714285,0.979381443298969,0.9657268316589923,0.9650053022269353,-0.0007215294320570553,0.0007215294320570553,0.9575783140855701,0.9711711546881886
nn_oof_isotonic_crossfit_seed42,8,2200,0.9795918367346939,0.9855769230769231,0.9832916669829012,0.9840909090909091,0.0007992421080079692,0.0007992421080079692,0.9779554526084334,0.988538752986461
nn_oof_isotonic_crossfit_seed42,9,2589,0.9858525688756515,0.9928832007500661,0.9895540460654327,0.9907300115874855,0.001175965522052791,0.001175965522052791,0.9862432620999835,0.9937626658967582
nn_oof_isotonic_crossfit_seed42,10,2431,0.993127147766323,1.0,0.996071601209634,0.9921842863019333,-0.0038873149077006675,0.0038873149077006675,0.9878248206226934,0.9949907098632382
