metric_schema_version,candidate,metric,raw_value,calibrated_mean,calibrated_std,calibrated_min,calibrated_max,delta_mean,delta_std,delta_min,delta_max,improved_seeds,evaluated_seeds,improvement_rate
2_weighted_f1_primary,nn,brier,0.0887040906736291,0.0886574063582257,6.07573949596602e-05,0.0885278833621029,0.08876404277068418,-4.6684315403403674e-05,6.075739495965891e-05,-0.0001762073115261914,5.9952097055088194e-05,16,21,0.7619047619047619
2_weighted_f1_primary,nn,ece,0.010363715355556144,0.0025519233368483337,0.0005296250217855005,0.0018341508657505894,0.0037836400402329997,-0.00781179201870781,0.0005296250217855005,-0.008529564489805555,-0.006580075315323145,21,21,1.0
2_weighted_f1_primary,nn,legacy_dead_class_f1_at_fixed_rate,0.9240298507462686,0.92363184079602,0.0002145657577398021,0.92318407960199,0.9240298507462686,-0.0003980099502487244,0.00021456575773979675,-0.0008457711442786398,0.0,0,21,0.0
2_weighted_f1_primary,nn,log_loss,0.29080007902889177,0.29384314208414747,0.0005138988064311963,0.29328760175533597,0.2950821749737249,0.003043063055255728,0.0005138988064311939,0.0024875227264442024,0.004282095944833142,0,21,0.0
2_weighted_f1_primary,nn,max_calibration_error,0.0425896578406294,0.006526340236754479,0.001959668227751086,0.004202934230108202,0.011183544023336656,-0.03606331760387492,0.001959668227751087,-0.0383867236105212,-0.03140611381729275,21,21,1.0
2_weighted_f1_primary,nn,official_weighted_f1_at_fixed_rate,0.8703832376578645,0.8697041714504401,0.00036608219282069425,0.8689402219670875,0.8703832376578645,-0.0006790662074244116,0.0003660821928207029,-0.001443015690776983,0.0,0,21,0.0
2_weighted_f1_primary,nn,rms_calibration_error,0.015561674312097108,0.0031492230855325607,0.000667382017959331,0.002223203689264154,0.004692154741214099,-0.012412451226564546,0.0006673820179593312,-0.013338470622832953,-0.010869519570883009,21,21,1.0
2_weighted_f1_primary,nn,roc_auc,0.8871457890385069,0.8855682282116326,0.00012271525532767634,0.8853630822308843,0.8857604868001419,-0.0015775608268742294,0.00012271525532768791,-0.0017827068076226027,-0.0013853022383650826,0,21,0.0
2_weighted_f1_primary,tree80_nn20,brier,0.08356501175945844,0.0835884579692167,9.871119444460439e-06,0.08356788906482694,0.08360710903766429,2.3446209758253473e-05,9.871119444459273e-06,2.8773053685066108e-06,4.209727820585207e-05,0,21,0.0
2_weighted_f1_primary,tree80_nn20,ece,0.0033812520342106083,0.004312728568405757,0.00013159227283061168,0.004067095393828313,0.004547464186387482,0.0009314765341951495,0.00013159227283061174,0.0006858433596177043,0.0011662121521768738,0,21,0.0
2_weighted_f1_primary,tree80_nn20,legacy_dead_class_f1_at_fixed_rate,0.9287562189054727,0.9284885098317934,9.102736216600016e-05,0.9283084577114428,0.9286567164179105,-0.0002677090736792448,9.102736216601072e-05,-0.00044776119402989423,-9.950248756218638e-05,0,21,0.0
2_weighted_f1_primary,tree80_nn20,log_loss,0.2736682716498942,0.2737698945031758,2.489599101004817e-05,0.2737115119495173,0.27381308583963954,0.0001016228532815588,2.4895991010042242e-05,4.324029962310405e-05,0.00014481418974532367,0,21,0.0
2_weighted_f1_primary,tree80_nn20,max_calibration_error,0.010110747295069722,0.010311287008922705,0.0005206391808037074,0.009455491769442714,0.011271982977028083,0.00020053971385298292,0.0005206391808037072,-0.0006552555256270076,0.0011612356819583614,10,21,0.47619047619047616
2_weighted_f1_primary,tree80_nn20,official_weighted_f1_at_fixed_rate,0.8784471488710295,0.8779903960053214,0.0001553066840647495,0.877683199387677,0.8782773823191733,-0.000456752865708047,0.0001553066840647456,-0.0007639494833524552,-0.0001697665518561875,0,21,0.0
2_weighted_f1_primary,tree80_nn20,rms_calibration_error,0.004160093401253449,0.005002530542745496,0.00010598488880306185,0.004797463501994978,0.005209653791560471,0.0008424371414920467,0.00010598488880306186,0.0006373701007415288,0.0010495603903070217,0,21,0.0
2_weighted_f1_primary,tree80_nn20,roc_auc,0.9014938676273723,0.9013497752682063,2.1339179105132042e-05,0.9013025016733602,0.9013886551106387,-0.00014409235916592494,2.133917910512552e-05,-0.00019136595401203493,-0.00010521251673356602,0,21,0.0
