seed,metric_schema_version,candidate,metric,raw_value,calibrated_value,calibrated_minus_raw,improved
42,2_weighted_f1_primary,nn,brier,0.0887040906736291,0.08876404277068418,5.9952097055088194e-05,False
42,2_weighted_f1_primary,nn,log_loss,0.29080007902889177,0.2939705080487943,0.003170429019902554,False
42,2_weighted_f1_primary,nn,roc_auc,0.8871457890385069,0.8853675240176392,-0.001778265020867753,False
42,2_weighted_f1_primary,nn,ece,0.010363715355556144,0.0019245185324900606,-0.008439196823066084,True
42,2_weighted_f1_primary,nn,rms_calibration_error,0.015561674312097108,0.002489883773540194,-0.013071790538556914,True
42,2_weighted_f1_primary,nn,max_calibration_error,0.0425896578406294,0.005227150200104114,-0.03736250764052529,True
42,2_weighted_f1_primary,nn,official_weighted_f1_at_fixed_rate,0.8703832376578645,0.8696192881745121,-0.0007639494833524552,False
42,2_weighted_f1_primary,nn,legacy_dead_class_f1_at_fixed_rate,0.9240298507462686,0.9235820895522389,-0.0004477611940297832,False
42,2_weighted_f1_primary,tree80_nn20,brier,0.08356501175945844,0.0835930924876385,2.8080728180071568e-05,False
42,2_weighted_f1_primary,tree80_nn20,log_loss,0.2736682716498942,0.2737806194075257,0.0001123477576314702,False
42,2_weighted_f1_primary,tree80_nn20,roc_auc,0.9014938676273723,0.9013564921450509,-0.00013737548232140018,False
42,2_weighted_f1_primary,tree80_nn20,ece,0.0033812520342106083,0.004215705139293522,0.0008344531050829139,False
42,2_weighted_f1_primary,tree80_nn20,rms_calibration_error,0.004160093401253449,0.005009492008683482,0.0008493986074300328,False
42,2_weighted_f1_primary,tree80_nn20,max_calibration_error,0.010110747295069722,0.010461346847438907,0.00035059955236918516,False
42,2_weighted_f1_primary,tree80_nn20,official_weighted_f1_at_fixed_rate,0.8784471488710295,0.8780227324913893,-0.0004244163796401912,False
42,2_weighted_f1_primary,tree80_nn20,legacy_dead_class_f1_at_fixed_rate,0.9287562189054727,0.9285074626865671,-0.00024875621890552146,False
20260829,2_weighted_f1_primary,nn,brier,0.0887040906736291,0.08868999008106884,-1.4100592560253866e-05,True
