dimension,slice,candidate,rows,dead_count,alive_count,actual_dead_rate,global_policy_predicted_dead_rate,global_policy_dead_class_f1,global_policy_weighted_f1,global_policy_dead_f1_gap,global_policy_weighted_f1_gap,within_slice_predicted_dead_rate,within_slice_dead_class_f1,within_slice_weighted_f1,within_minus_global_dead_f1,within_minus_global_weighted_f1,large_enough_for_intervention,weak_by_dead_f1,weak_by_weighted_f1
age_recode,55-59 years,frozen_tree,1821,1443,378,0.7924217462932455,0.8204283360790774,0.9029622063329928,0.8391905288853435,-0.025246748890887738,-0.03832290395047744,0.8451400329489291,0.9027498323272971,0.8317282256767604,-0.00021237400569573683,-0.007462303208583099,True,True,True
age_recode,45-49 years,frozen_tree,341,249,92,0.7302052785923754,0.7419354838709677,0.9043824701195219,0.8582343159132775,-0.023826485104358697,-0.01927911692254347,0.844574780058651,0.9087523277467412,0.842198458758137,0.004369857627219309,-0.016035857155140443,False,True,False
age_recode,65-69 years,frozen_tree,3851,3076,775,0.7987535705011686,0.8065437548688652,0.9077968295050146,0.8508849772935406,-0.02041212571886597,-0.026628455542280327,0.8449753310828356,0.9134281200631912,0.8504691748527935,0.0056312905581765715,-0.00041580244074712613,True,True,True
age_recode,50-54 years,frozen_tree,789,607,182,0.7693282636248415,0.7984790874524715,0.9086499595796281,0.853282224366225,-0.019558995644252453,-0.024231208469595922,0.8453738910012675,0.9215070643642073,0.863734305470776,0.012857104784579132,0.010452081104550981,True,False,True
age_recode,60-64 years,frozen_tree,2925,2348,577,0.8027350427350427,0.8112820512820513,0.9116712560898115,0.8562349373239863,-0.016537699134069106,-0.021278495511834694,0.8451282051282051,0.9157676348547718,0.854626862115401,0.004096378764960273,-0.0016080752085853023,True,False,True
age_recode,70-74 years,frozen_tree,4233,3425,808,0.8091188282541932,0.8237656508386487,0.9221643518518519,0.8709380111883508,-0.006044603372028723,-0.006575421647470159,0.8450271674935034,0.9274493001999429,0.8750631392594733,0.005284948348091012,0.00412512807112253,True,False,False
age_recode,75-79 years,frozen_tree,4027,3362,665,0.8348646635212317,0.8502607400049664,0.9310344827586207,0.8814741223382005,0.00282552753474008,0.0039606895023796,0.8450459399056369,0.9300813008130081,0.8810307512472861,-0.0009531819456125579,-0.00044337109091441285,True,False,False
age_recode,80-84 years,frozen_tree,2943,2598,345,0.8827726809378186,0.8977234114848793,0.9496183206106871,0.9076172901366842,0.02140936538680649,0.03010385730086329,0.8450560652395515,0.9392330383480826,0.9011340625171149,-0.01038528226260449,-0.006483227619569321,True,False,False
age_recode,85-89 years,frozen_tree,1823,1700,123,0.9325287986834887,0.9550191991223258,0.970648067422261,0.9393865686329367,0.04243911219838037,0.06187313579711573,0.8447613823368074,0.9339506172839506,0.9028434103496682,-0.036697450138310383,-0.036543158283268484,True,False,False
age_recode,90+ years,frozen_tree,957,926,31,0.96760710553814,0.9801462904911181,0.9839055793991416,0.964991187589974,0.055696624175261,0.08747775475415309,0.845350052246604,0.9268011527377522,0.9061896071341038,-0.057104426661389374,-0.05880158045587025,True,False,False
age_recode,45-49 years,nested_pseudo90,341,249,92,0.7302052785923754,0.750733137829912,0.8871287128712871,0.8306977444600666,-0.03948820255159846,-0.04409942354605667,0.844574780058651,0.9013035381750466,0.8293167002894137,0.014174825303759464,-0.0013810441706528787,False,True,True
age_recode,55-59 years,nested_pseudo90,1821,1443,378,0.7924217462932455,0.8215266337177375,0.9003062266076897,0.8344849407078724,-0.026310688815195937,-0.0403122272982509,0.8451400329489291,0.9020791415157612,0.8305677306814276,0.0017729149080715212,-0.00391721002644474,True,True,True
age_recode,50-54 years,nested_pseudo90,789,607,182,0.7693282636248415,0.7959442332065906,0.9052631578947369,0.8484323247009431,-0.02135375752814872,-0.026364843305180186,0.8453738910012675,0.9215070643642073,0.863734305470776,0.01624390646947038,0.015301980769832912,True,True,True
age_recode,65-69 years,nested_pseudo90,3851,3076,775,0.7987535705011686,0.8088808101791742,0.906477144241641,0.8481826777067698,-0.020139771181244548,-0.026614490299353477,0.8449753310828356,0.9156398104265403,0.8542893054222477,0.009162666184899249,0.006106627715477875,True,True,True
age_recode,60-64 years,nested_pseudo90,2925,2348,577,0.8027350427350427,0.8116239316239316,0.9119017365523083,0.8565302397209181,-0.014715178870577272,-0.018266928285205153,0.8451282051282051,0.91701244813278,0.8567752336112324,0.005110711580471716,0.0002449938903142934,True,False,False
age_recode,70-74 years,nested_pseudo90,4233,3425,808,0.8091188282541932,0.8223482163949918,0.9220967274833478,0.8711374631169515,-0.00452018793953779,-0.0036597048891717776,0.8450271674935034,0.9243073407597829,0.8696524878100804,0.002210613276435125,-0.0014849753068710836,True,False,False
age_recode,75-79 years,nested_pseudo90,4027,3362,665,0.8348646635212317,0.8512540352619816,0.9290132547864507,0.8777647633058241,0.002396339363565092,0.0029675952997008093,0.8450459399056369,0.9277161862527716,0.8770064214797525,-0.0012970685336790577,-0.0007583418260715957,True,False,False
age_recode,80-84 years,nested_pseudo90,2943,2598,345,0.8827726809378186,0.8970438328236493,0.9473081328751431,0.9035549047791972,0.02069121745225755,0.028757736773073916,0.8450560652395515,0.9360865290068829,0.8960147906733409,-0.01122160386826021,-0.00754011410585631,True,False,False
age_recode,85-89 years,nested_pseudo90,1823,1700,123,0.9325287986834887,0.9522764673614921,0.9691501746216531,0.9371747573072386,0.04253325919876749,0.062377589301115366,0.8447613823368074,0.9339506172839506,0.9028434103496682,-0.035199557337702525,-0.03433134695757045,True,False,False
age_recode,90+ years,nested_pseudo90,957,926,31,0.96760710553814,0.9811912225705329,0.9833780160857909,0.9634229864132531,0.056761100662905295,0.0886258184071298,0.845350052246604,0.9268011527377522,0.9061896071341038,-0.056576863348038686,-0.05723337927914929,True,False,False
age_recode,45-49 years,nested_pseudo90_nn20,341,249,92,0.7302052785923754,0.750733137829912,0.8871287128712871,0.8306977444600666,-0.04028422245209595,-0.045457555960905505,0.844574780058651,0.9013035381750466,0.8293167002894137,0.014174825303759464,-0.0013810441706528787,False,True,True
age_recode,55-59 years,nested_pseudo90_nn20,1821,1443,378,0.7924217462932455,0.8215266337177375,0.8989452194624021,0.8322253494547374,-0.028467715860980958,-0.043929950966234754,0.8451400329489291,0.903420523138833,0.832888720672093,0.004475303676430897,0.0006633712173556017,True,True,True
age_recode,50-54 years,nested_pseudo90_nn20,789,607,182,0.7693282636248415,0.7946768060836502,0.9076175040518638,0.8524839942599609,-0.01979543127151928,-0.023671306161011207,0.8453738910012675,0.9215070643642073,0.863734305470776,0.013889560312343452,0.0112503112108151,True,False,True
age_recode,65-69 years,nested_pseudo90_nn20,3851,3076,775,0.7987535705011686,0.8062840820566086,0.9076201261931727,0.850661139942625,-0.01979280913021042,-0.025494160478347072,0.8449753310828356,0.9146919431279621,0.8526521066067674,0.007071816934789421,0.001990966664142335,True,False,True
age_recode,60-64 years,nested_pseudo90_nn20,2925,2348,577,0.8027350427350427,0.8109401709401709,0.9135593220338983,0.8593861691530809,-0.013853613289484756,-0.016769131267891257,0.8451282051282051,0.9161825726141078,0.8553429859473448,0.002623250580209513,-0.004043183205736045,True,False,False
age_recode,70-74 years,nested_pseudo90_nn20,4233,3425,808,0.8091188282541932,0.8204583038034491,0.921716439547695,0.8709221590664793,-0.005696495775688093,-0.005233141354492821,0.8450271674935034,0.9243073407597829,0.8696524878100804,0.002590901212087937,-0.0012696712563988743,True,False,False
age_recode,75-79 years,nested_pseudo90_nn20,4027,3362,665,0.8348646635212317,0.8519990067047429,0.9303694980126601,0.8799258337257824,0.0029565626892770203,0.003770533304810253,0.8450459399056369,0.929490022172949,0.8800246688054028,-0.0008794758397111524,9.883507962038518e-05,True,False,False
age_recode,80-84 years,nested_pseudo90_nn20,2943,2598,345,0.8827726809378186,0.9001019367991845,0.9479702687249857,0.9039865416073156,0.020557333401602595,0.027831241186343503,0.8450560652395515,0.936479842674533,0.8966546996538126,-0.011490426050452696,-0.007331841953503004,True,False,False
age_recode,85-89 years,nested_pseudo90_nn20,1823,1700,123,0.9325287986834887,0.9550191991223258,0.970648067422261,0.9393865686329367,0.04323513209887786,0.06323126821196456,0.8447613823368074,0.9345679012345679,0.903751415860419,-0.03608016618769305,-0.03563515277251772,True,False,False
age_recode,90+ years,nested_pseudo90_nn20,957,926,31,0.96760710553814,0.9832810867293625,0.984467059453669,0.9649831112639806,0.05705412413028588,0.0888278108430085,0.845350052246604,0.9256484149855908,0.9047122781125936,-0.05881864446807816,-0.06027083315138704,True,False,False
derived_eod_composite_stage,M0 N0 T0-2 localized,frozen_tree,2566,1078,1488,0.4201091192517537,0.31644583008573657,0.6634920634920635,0.744869737377273,-0.2647168917318171,-0.13264369545854793,0.8448947778643804,0.6555760936537277,0.5115514573511973,-0.007915969838335757,-0.2333182800260757,True,True,True
derived_eod_composite_stage,M0 N0 T3-4 locally advanced,frozen_tree,611,404,207,0.6612111292962357,0.6366612111292962,0.8297604035308953,0.7808238017784315,-0.09844855169298528,-0.09668963105738948,0.8445171849427169,0.8391304347826087,0.7276022701193166,0.009370031251713429,-0.05322153165911492,True,True,True
derived_eod_composite_stage,M0 N1-3 node-positive,frozen_tree,1829,1323,506,0.7233460907599781,0.7266265718972116,0.8536953242835595,0.7874695770219101,-0.07451363094032104,-0.09004385581391083,0.8452706396938218,0.8769606134541652,0.7872244908444432,0.023265289170605663,-0.00024508617746688,True,True,True
derived_eod_composite_stage,EOD not applicable (88),frozen_tree,754,577,177,0.7652519893899205,0.7891246684350133,0.8822525597269625,0.8134791755849189,-0.0459563954969181,-0.06403425725090206,0.8448275862068966,0.8945634266886326,0.8171112370153117,0.012310866961670164,0.0036320614303928522,True,True,True
derived_eod_composite_stage,M1 distant/metastatic,frozen_tree,5321,4740,581,0.890809998120654,0.9424920127795527,0.9418759610456177,0.87842463199693,0.013667005821737077,0.0009111991611090442,0.8449539560233039,0.9159809441316588,0.8648908018857608,-0.0258950169139589,-0.013533830111169154,True,False,False
derived_eod_composite_stage,M0 indeterminate T/N,frozen_tree,932,833,99,0.8937768240343348,0.9366952789699571,0.9519343493552169,0.9019115516925458,0.02372539413133634,0.024398118856724826,0.8454935622317596,0.932757557063541,0.8922528300713759,-0.019176792291675904,-0.009658721621169875,True,False,False
derived_eod_composite_stage,EOD unavailable (all blank),frozen_tree,11987,10965,1022,0.9147409693834988,0.9399349295069659,0.9577186038143217,0.91531687950003,0.02950964859044114,0.037803446664209095,0.8449987486443647,0.9289845453683512,0.890692716736425,-0.028734058445970545,-0.024624162763605018,True,False,False
derived_eod_composite_stage,M0 N0 T0-2 localized,nested_pseudo90,2566,1078,1488,0.4201091192517537,0.32774746687451284,0.6670140698280355,0.7447811356840914,-0.25960284559485014,-0.13001603232203185,0.8448947778643804,0.6561922365988909,0.5124252472307121,-0.01082183322914454,-0.2323558884533793,True,True,True
