dimension,slice,candidate,fold_global_policy_dead_class_f1_mean,fold_global_policy_dead_class_f1_std,fold_global_policy_dead_class_f1_min,fold_global_policy_dead_class_f1_max,fold_global_policy_weighted_f1_mean,fold_global_policy_weighted_f1_std,fold_global_policy_weighted_f1_min,fold_global_policy_weighted_f1_max,fold_within_slice_dead_class_f1_mean,fold_within_slice_dead_class_f1_std,fold_within_slice_dead_class_f1_min,fold_within_slice_dead_class_f1_max,fold_within_slice_weighted_f1_mean,fold_within_slice_weighted_f1_std,fold_within_slice_weighted_f1_min,fold_within_slice_weighted_f1_max
GLOBAL,all rows,frozen_tree,0.9280099502487562,0.0014779553012451297,0.926865671641791,0.9305970149253732,0.8771738997321087,0.0025216191216627993,0.8752215843857634,0.8815878300803675,0.9280099502487562,0.0014779553012451297,0.926865671641791,0.9305970149253732,0.8771738997321087,0.0025216191216627993,0.8752215843857634,0.8815878300803675
GLOBAL,all rows,nested_pseudo90,0.9266666666666665,0.002171457994308003,0.9241293532338308,0.9296019900497512,0.8748820512820513,0.0037048414087500793,0.8705530042097206,0.8798901645618064,0.9266666666666665,0.002171457994308003,0.9241293532338308,0.9296019900497512,0.8748820512820513,0.0037048414087500793,0.8705530042097206,0.8798901645618064
GLOBAL,all rows,nested_pseudo90_nn20,0.9271641791044776,0.001889565076102727,0.9248756218905473,0.9296019900497512,0.8757308840413319,0.00322388872215065,0.8718262533486416,0.8798901645618064,0.9271641791044776,0.001889565076102727,0.9248756218905473,0.9296019900497512,0.8757308840413319,0.00322388872215065,0.8718262533486416,0.8798901645618064
age_recode,45-49 years,frozen_tree,0.9014621957893798,0.028177012472431172,0.875,0.9484536082474226,0.8568654495773046,0.034430652847822235,0.8323575331772052,0.9168351597147683,0.895930735930736,0.03779172701455283,0.8444444444444444,0.9494949494949495,0.8216811236816403,0.06316450046679874,0.7381375227686703,0.9134520945404085
age_recode,45-49 years,nested_pseudo90,0.8861169901465354,0.025742378884050093,0.8656716417910447,0.9278350515463918,0.8309105250451626,0.03630282895829961,0.7916188289322618,0.8835692236006756,0.8930735930735931,0.03926837915774357,0.8444444444444444,0.9494949494949495,0.8167726987732153,0.06581275535475331,0.7381375227686703,0.9134520945404085
age_recode,45-49 years,nested_pseudo90_nn20,0.8905468587386303,0.02900745381374001,0.8656716417910447,0.9375,0.8374937335480883,0.04226099097405309,0.7916188289322618,0.9018682588597843,0.8930735930735931,0.03926837915774357,0.8444444444444444,0.9494949494949495,0.8167726987732153,0.06581275535475331,0.7381375227686703,0.9134520945404085
age_recode,50-54 years,frozen_tree,0.9103419736116576,0.02753379444628012,0.8646288209606987,0.937984496124031,0.8557079683726748,0.0419782918330526,0.7878524659244354,0.9006211180124224,0.9164195055253292,0.030370818067715473,0.865546218487395,0.9433962264150944,0.8559832090469198,0.051910894515929,0.7691585725199171,0.9023419911550821
age_recode,50-54 years,nested_pseudo90,0.9045496086911748,0.02846731355316848,0.8547008547008547,0.921875,0.8470176324767096,0.04875435885199308,0.7608607608607609,0.8771733248635423,0.917917314924194,0.034824202068437324,0.8571428571428571,0.9429657794676806,0.8585762105072829,0.05955373446265508,0.7547309833024118,0.9017410446267761
age_recode,50-54 years,nested_pseudo90_nn20,0.9054054902565877,0.02967676218720424,0.8547008547008547,0.9260700389105059,0.8479532054407543,0.050469836412825535,0.7608607608607609,0.8850972593883746,0.9179404180728579,0.03125795088262035,0.865546218487395,0.9433962264150944,0.8586034478568724,0.05345249369893507,0.7691585725199171,0.9023419911550821
age_recode,55-59 years,frozen_tree,0.9026984136024672,0.014290206038749038,0.8856682769726248,0.9238938053097345,0.8382890490097086,0.024164397940903977,0.8147955361269225,0.8754113405440839,0.9047860062379321,0.012259072226611366,0.889937106918239,0.9201388888888888,0.8351638320323531,0.02112038890985016,0.8095377034299422,0.8619175627240143
age_recode,55-59 years,nested_pseudo90,0.9020570643598461,0.016267550276330735,0.8774193548387097,0.9203539823008849,0.8373286756099818,0.027444130250835027,0.8022443358658855,0.8696165191740414,0.9033765358867519,0.010833875064530896,0.889937106918239,0.9166666666666666,0.8327228439485467,0.018651871562428694,0.8095377034299422,0.8559139784946235
age_recode,55-59 years,nested_pseudo90_nn20,0.9006407082032115,0.01743068778386973,0.8737864077669902,0.9184397163120568,0.8351606765947917,0.027659754829702635,0.7980220172839099,0.867104714226116,0.9047188782290944,0.010867277658862666,0.889937106918239,0.9166666666666666,0.8350466177120573,0.01871981287510112,0.8095377034299422,0.8559139784946235
age_recode,60-64 years,frozen_tree,0.912356571413207,0.012551583992461503,0.893970893970894,0.9240924092409241,0.857351955157904,0.02027059519805576,0.8259176084497262,0.8765994640851434,0.9167913933379893,0.011624252194075932,0.8981670061099797,0.9262720664589823,0.8565211030599926,0.02058931517628291,0.8232123339315965,0.8731686198493266
