candidate,rows,actual_dead_rate,fixed_positive_rate,dead_class_f1,weighted_f1,roc_auc
frozen_tree,24000,0.83,0.845,0.9282089552238806,0.877513432835821,0.9016228886132764
nested_pseudo90,24000,0.83,0.845,0.9266169154228856,0.8747971680061233,0.8968897034215293
nested_pseudo90_nn20,24000,0.83,0.845,0.9274129353233831,0.8761553004209721,0.8984534461374911
