dimension,slice,candidate,outer_fold,rows,actual_dead_rate,fold_global_policy_predicted_dead_rate,fold_global_policy_dead_class_f1,fold_global_policy_weighted_f1,fold_within_slice_predicted_dead_rate,fold_within_slice_dead_class_f1,fold_within_slice_weighted_f1
age_recode,55-59 years,nested_pseudo90,3,388,0.7938144329896907,0.8041237113402062,0.8774193548387097,0.8022443358658855,0.845360824742268,0.889937106918239,0.8095377034299422
age_recode,55-59 years,nested_pseudo90,4,358,0.8072625698324022,0.8575418994413407,0.8959731543624161,0.8164420156724532,0.8463687150837989,0.8952702702702703,0.8190868941567266
age_recode,55-59 years,nested_pseudo90,5,356,0.7808988764044944,0.7921348314606742,0.9071428571428571,0.8525323139308946,0.8455056179775281,0.9050086355785838,0.8352156224525334
age_recode,55-59 years,nested_pseudo90_nn20,1,350,0.8,0.8114285714285714,0.9184397163120568,0.867104714226116,0.8457142857142858,0.9166666666666666,0.8559139784946235
age_recode,55-59 years,nested_pseudo90_nn20,2,369,0.7804878048780488,0.8401084010840109,0.9130434782608695,0.8505983941826996,0.8455284552845529,0.9133333333333333,0.8496429833863556
age_recode,55-59 years,nested_pseudo90_nn20,3,388,0.7938144329896907,0.7989690721649485,0.8737864077669902,0.7980220172839099,0.845360824742268,0.889937106918239,0.8095377034299422
age_recode,55-59 years,nested_pseudo90_nn20,4,358,0.8072625698324022,0.8575418994413407,0.8959731543624161,0.8164420156724532,0.8463687150837989,0.8986486486486487,0.8249228007968322
age_recode,55-59 years,nested_pseudo90_nn20,5,356,0.7808988764044944,0.7949438202247191,0.9019607843137255,0.8436362416087799,0.8455056179775281,0.9050086355785838,0.8352156224525334
age_recode,60-64 years,frozen_tree,1,608,0.7697368421052632,0.8125,0.893970893970894,0.8259176084497262,0.8453947368421053,0.8981670061099797,0.8232123339315965
age_recode,60-64 years,frozen_tree,2,564,0.8014184397163121,0.8102836879432624,0.9240924092409241,0.8765994640851434,0.8457446808510638,0.9214208826695371,0.8641787443811213
age_recode,60-64 years,frozen_tree,3,610,0.8147540983606557,0.8,0.9055837563451776,0.8497638983071854,0.8442622950819673,0.9130434782608695,0.8507785514556719
age_recode,60-64 years,frozen_tree,4,581,0.8123924268502581,0.8227194492254734,0.9221052631578948,0.8712332433721266,0.8450946643717728,0.9262720664589823,0.8731686198493266
age_recode,60-64 years,frozen_tree,5,562,0.8167259786476868,0.8149466192170819,0.916030534351145,0.8632455615753377,0.8451957295373665,0.9250535331905781,0.8712672656822469
age_recode,60-64 years,nested_pseudo90,1,608,0.7697368421052632,0.8289473684210527,0.9012345679012346,0.8333812673760905,0.8453947368421053,0.8981670061099797,0.8232123339315965
age_recode,60-64 years,nested_pseudo90,2,564,0.8014184397163121,0.8031914893617021,0.9193370165745857,0.8703486779462196,0.8457446808510638,0.9192680301399354,0.8604576140901931
age_recode,60-64 years,nested_pseudo90,3,610,0.8147540983606557,0.8016393442622951,0.9046653144016227,0.8479106538761377,0.8442622950819673,0.9150197628458498,0.8541699480134977
